Rank,Address,Name Tag,Balance,Percentage,Txn Count
194,0xa90aa5a93fa074de79306e44596109dc53e01410,,"55,480.47218521 ETH",0.04607120%,120
195,0x05576087d1ad92873da0a3b76e7105195935b0f5,,"55,230.01533923 ETH",0.04586322%,5
196,0x7c2a289c0523e748c286a37570d2efc16d2c934e,,"55,000.55305933 ETH",0.04567267%,7
197,0x46f80018211d5cbbc988e853a8683501fca4ee9b,BtcTurk: Cold 1,"54,745.74411546 ETH",0.04546108%,"44,079"
198,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,"54,726.30991107 ETH",0.04544494%,"6,999,116"
199,0xe3ecd65cf2ad2eba2aa2be1d0894753b2172abd1,,"53,741.25134668 ETH",0.04462695%,569
200,0x17e5545b11b468072283cee1f066a059fb0dbf24,,"53,446.67166322 ETH",0.04438233%,"43,455"
201,0xe3f53355cdbeaf2afafc4fc22be0a5c02570061a,,"53,242.56375134 ETH",0.04421283%,4
202,0x7df24e36497dc9f6edea0a024a595a930049ee47,,"53,059.89745552 ETH",0.04406115%,19
203,0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,,"52,870.22100339 ETH",0.04390364%,"1,801"
204,0x59708733fbbf64378d9293ec56b977c011a08fd2,,"52,485.1850511 ETH",0.04358390%,32
205,0xe5bb1523743d3a3c1eb6682060e3c3b0041db563,,"52,449.89596829 ETH",0.04355460%,26
206,0xfe27a55a953b741daccd6606b560fc98edebf0ac,,"52,345.55099001 ETH",0.04346795%,20
207,0xa56d5dc24797e7e7fe0981fa49302ec673992ef8,,"52,345.55099001 ETH",0.04346795%,20
208,0x7ef857eb57071f1d659d43ea466591bf7c32dc3d,,"52,345.55099001 ETH",0.04346795%,2
209,0x1c7bfcad2ee0e50493fa6a22f4f06c0c9ec86e60,,"52,345.55099001 ETH",0.04346795%,4
210,0xdfcc6d21f4494a81b605d67900bfb03290a00555,,"52,345.55099001 ETH",0.04346795%,3
211,0xef6ddef90502aee5bb6bd9db326c853e44c42be1,,"52,345.55099001 ETH",0.04346795%,1
212,0x33cba8530056037780bd7c3cd65d4d6ff1aebbf8,,"52,345.55099001 ETH",0.04346795%,2
213,0x93610880fb8f4f2a33931b403990d3536f73de5f,,"52,345.55099001 ETH",0.04346795%,1
214,0xdd0817f5c09013ab1a78c7943d4baed6bcf64548,,"52,236.27868138 ETH",0.04337721%,9
215,0xaacdeeab334a8fd81baae72bc34274d1e57227a7,,"52,236.27868138 ETH",0.04337721%,18
216,0x2fb6db0fc654925ae4aad32ef06aa2b4a5684dda,,"52,236.27868138 ETH",0.04337721%,14
217,0x0afbaf9dd49d5d7b32bc196a1d5fdf0a611f60ac,,"52,236.27868138 ETH",0.04337721%,25
218,0xab90ed01b9f5e903b988856f09a14bb9f5413282,,"52,236.27868104 ETH",0.04337721%,3
219,0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a,,"52,170.1297478 ETH",0.04332228%,26
220,0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,SwissBorg 1,"51,414.2242905 ETH",0.04269457%,"96,486"
221,0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex 14,"51,377.30143861 ETH",0.04266391%,25
222,0x795cbc7a670d06e56cd2197d4ca175e081a416ad,,"50,751.99278797 ETH",0.04214465%,72
223,0xceffc7330317f72957c662d072a5e7d63b9b578c,,"50,399.93896064 ETH",0.04185231%,10
224,0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd,,"50,005.98478689 ETH",0.04152517%,9
225,0x50bd66bfddf48b8914602bf51c93756731ec51ae,,"50,001.00561846 ETH",0.04152103%,8
226,0x5a03703125380cfda804446fdaa3b4064cb6cc0a,,"50,000.89 ETH",0.04152093%,4
227,0x6220d7a458a68d6a554e5904792049fd2ef6bbcc,,"50,000.419059 ETH",0.04152054%,6
228,0x07f1d450b16e53302931c5362ee0ab41f2978541,,"50,000.150118 ETH",0.04152032%,5
229,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,OKX 6,"50,000.10856897 ETH",0.04152029%,68
230,0xc97b6e3e4301617f617b23120f31303e8ccee606,,"50,000.01556724 ETH",0.04152021%,5
231,0x565b8fbf9336bec8fbfb4f78fbf30d7f70d6973b,,"50,000.012559 ETH",0.04152021%,4
232,0xe780a56306ba1e6bb331952c22539b858af9f77d,,"50,000.00001563 ETH",0.04152020%,5
233,0x6b378be3c9642ccf25b1a27facb8ace24ac34a12,Deribit 5,"49,999.99958 ETH",0.04152020%,12
234,0xa18eb0ed2543be132ef5aa3c8a87a0f5b2e30fca,,"49,996.54870979 ETH",0.04151733%,7
235,0x1e747fb111ba949af397b15cbceb424d3f19d8a6,,"49,371.02111049 ETH",0.04099789%,5
236,0x7442041898dc3f8ed76fa4e00a762064c87991c8,,"48,746.20442194 ETH",0.04047904%,6
237,0xda78f7f430a98011ffdf4e01347482d17660005d,,"48,706.1862946 ETH",0.04044581%,9
238,0x028a07979d3fed8e9459d0a84d8814087fe36a74,,"48,051.16537272 ETH",0.03990188%,"2,718"
239,0x6e29f75b0350fd0e85ee34a21ef94767b0186996,Stake.com 3,"47,649.00157349 ETH",0.03956792%,40
240,0xf9a345948c9f31b225686ab8911140b0e2bcdca8,,"45,558.05891678 ETH",0.03783159%,27
241,0xdc9f181faa64e9b9351ff4f6060682b7effcdf67,,"45,393.32147732 ETH",0.03769479%,1
