Rank,Address,Name Tag,Balance,Percentage,Txn Count
4940,0xbaa3d08e196d9f02ede4293a4146fc3f262ae6c6,,"1,219.73296363 ETH",0.00101287%,5
4941,0x00ce8ad7e44fea30ecbe2fb69963eaa26b5b56a0,,"1,218.20788315 ETH",0.00101160%,70
4942,0xac8174c9011a7967fb2c2c99d4331cf1a34503bd,,"1,216.968748 ETH",0.00101058%,18
4943,0x871dd22c4d8b46c0af251ccd57049aa2e20945b7,,"1,216.20544939 ETH",0.00100994%,421
4944,0x5237987274259b08b83316d530d9dec28083b399,,"1,216.05970289 ETH",0.00100982%,40
4945,0x77ece8dd8eb539ee4de5be0662b7843b37f9bc6b,,"1,214.20723181 ETH",0.00100828%,26
4946,0x1bf7867a41da41d79e09d75b1bd5ea3a74070880,,"1,213.08664771 ETH",0.00100735%,3
4947,0xaf8893aa6993f07202f78e603a2c889342a8ccb6,,"1,213.01696565 ETH",0.00100729%,6
4948,0xd69dfdb5ef2cea913f5160e7f54895909b716061,,"1,212.999832 ETH",0.00100728%,5
4949,0xac4c0b5103652c588164add17ece94325f71293b,,"1,212.51862073 ETH",0.00100688%,24
4950,0xed377eb5240cb751c14d96a8478446f750e22770,,"1,212.38183006 ETH",0.00100677%,7
4951,0xa316057e289af12e4b42d20fbba3814cfcc2aac9,,"1,212.22145 ETH",0.00100663%,8
4952,0x87a1937f20968f407b596eefd0ee978c608159d0,,"1,212.18 ETH",0.00100660%,1
4953,0x5bf38b5eee8802bb18af79a3779cd9b93b79bafb,,"1,211.6034469 ETH",0.00100612%,84
4954,0x518489f9ed41fc35bcd23407c484f31897067ff0,,"1,211.41155532 ETH",0.00100596%,"10,852"
4955,0x399692911aef46e160e0e5321f8c003e9dd3a5d8,,"1,211.32528835 ETH",0.00100589%,72
4956,0xdace16855561ad68e66df76a65b6e5ab8e8900cc,,"1,211.2453594 ETH",0.00100582%,2
4957,0x97577d6c8b651642e4652e0dc926fb78b32a1c09,,"1,210.78527382 ETH",0.00100544%,38
4958,0x86e8fd8fb0f3c29920106d9eb85a185c30d3646c,,"1,210.57647734 ETH",0.00100527%,33
4959,0x57bb2151956f295658b0b32760439e1312ffbe0c,,"1,210.19265255 ETH",0.00100495%,6
4960,0x73ebc6cf7f8b20c8e8989b42899e693fb0e4cba9,,"1,210.04000002 ETH",0.00100482%,4
4961,0xdd5da522cfb3441d529cb8f6b4a015ecce75780d,,"1,210.0078242 ETH",0.00100480%,9
4962,0x4fa7c42a4f9c4691e398e8b86e02c95ce0195fcd,,"1,209.99226612 ETH",0.00100478%,6
4963,0x3084d8862f94b01b049c75c4f267975822619aaf,,"1,209.497417 ETH",0.00100437%,9
4964,0x38fdf7b489316e03ed8754ad339cb5c4483fdcf9,Mantle: Unstake Requests Manager,"1,207.76029281 ETH",0.00100293%,11
4965,0x1a9b315367fc746b479dbb6a143a10cd4642aad8,,"1,207.02700076 ETH",0.00100232%,"5,474"
4966,0x8055f59a8f6498f6cbce61347682f5e478682dd0,,"1,206.72276389 ETH",0.00100207%,7
4967,0x66017d22b0f8556afdd19fc67041899eb65a21bb,Liquity: Stability Pool,"1,205.61541457 ETH",0.00100115%,"35,156"
4968,0xa32599773457f51ef155a1b2d9b34ac37bfb6328,,"1,205.24169448 ETH",0.00100084%,3
4969,0xe7253d2ce41a8785082035ab288e9d5ef6e82973,,"1,204.99 ETH",0.00100063%,1
4970,0x454e1a3d5ec7431fbc5036a16efe703bb1d7520c,,"1,204.63401071 ETH",0.00100033%,12
4971,0x5af241127a5c395a5dfd4237ed0ee8e1934ffd2b,,"1,204.63210071 ETH",0.00100033%,364
4972,0x6232b6f8ccc503abb982022a2b13c0282161b505,,"1,204.50590331 ETH",0.00100023%,14
4973,0xbd3d5015d8407a721489e51ad5a07e44ebbc659f,,"1,204.16690295 ETH",0.00099994%,3
4974,0x76c36ce006460c09c2ce236a0282af686844b3cd,,"1,203.44703848 ETH",0.00099935%,58
4975,0xaa6afd0be73b921fbf36c30fbf18a97492a1ec86,,"1,203.26180335 ETH",0.00099919%,10
4976,0x41f89c9f82a10f1db08bec51466c40a96b95f92c,,"1,203.14373302 ETH",0.00099910%,"4,759"
4977,0x4de7a377ca520e06b6807aca01d4dd826191f010,,"1,202.60251068 ETH",0.00099865%,2
4978,0x786098e65c02fa59ca8a1a3579a07bdc805df5d9,,"1,202.26960525 ETH",0.00099837%,8
4979,0xbf78b82ad57ea01d6f2d2191eb24dc242c70cde4,,"1,202.00091099 ETH",0.00099815%,11
4980,0x35855ec641ab9e081ed0c2a6dcd81354d0244a87,,"1,201.897 ETH",0.00099806%,1
4981,0x5b30724c7235a5dc2fceb80a2b7deed9e0073586,,"1,201 ETH",0.00099732%,1
4982,0xac38fee4add711a8b5bda9210e95951da277e8b2,,"1,200.93852316 ETH",0.00099726%,66
4983,0x5d616e813ba53a898fc936dc473443b525451e9d,,"1,200.93758144 ETH",0.00099726%,22
4984,0x00e71922608e1ec9039acf7949fbe021b3726417,,"1,200.90136075 ETH",0.00099723%,59
4985,0x4ec03fa256c58b6c8b07190cc062e1850f151430,,"1,200.67087248 ETH",0.00099704%,20
4986,0xb7441cf6ea358bae705e1102355ee5d7f70dce23,,"1,200.57179168 ETH",0.00099696%,402
4987,0x23c2c34f38ce66ccc10e71e9bb2a06532d52c5e9,,"1,200.56165257 ETH",0.00099695%,310
4988,0x176a65231da7f958a59b8b718f1b6f845ae815fb,,"1,200.489844 ETH",0.00099689%,15
4989,0xbf44c52b246f95b49e7d615233e494cf2bc323f5,,"1,200.26863459 ETH",0.00099671%,24
4990,0xd53842dd135d6757812eca5feab7e87d1fcbaccb,,"1,200.23843671 ETH",0.00099668%,33
4991,0xdcfff3e8d23c2a34b56bd1b3bd45c79374432239,,"1,200.18985107 ETH",0.00099664%,94
4992,0x3b8f724435eeed0caf82c24c535665666f0580ee,,"1,200.10391535 ETH",0.00099657%,2
4993,0xc8eb49eeab0177e49c81965f29f31640dc5d7e3b,,"1,200.09434636 ETH",0.00099656%,7
4994,0x4a4232d8e3d177ba2d80832339723afa585f057d,,"1,200.08854283 ETH",0.00099656%,26
4995,0x75bd48930949cd25fbd3d7566f5d14ffd2837a29,,"1,200.07 ETH",0.00099654%,3
4996,0x9b70aa97e53a4dd72330e52b1c8f938de48af8f2,,"1,200.065 ETH",0.00099654%,3
4997,0x3891863af8df9e5122a789970f7fdf3fc7382a0c,,"1,200.02958256 ETH",0.00099651%,8
4998,0xea25eb62b4628f2fca1ec0cb6d2b15f3794ee282,,"1,200.02272048 ETH",0.00099650%,24
4999,0x676beac962b242d69a5e8b5ee13a62b7891a5f94,,"1,200.011 ETH",0.00099649%,2
5000,0x101e96453dd3686043fa252263e983551c4ceb25,,"1,200.00061644 ETH",0.00099649%,3
5001,0x124e7ab69ba2effe637edb2da95f8bac56daa208,,"1,200 ETH",0.00099648%,5
5002,0x49ccaace4518c605e4bf30e23cbbf5b074850dcc,,"1,200 ETH",0.00099648%,2
5003,0xd111f7421cc76b3bd3c0877bd0d4e24e7ec7369b,,"1,200 ETH",0.00099648%,1
5004,0x2b97825c929f97b350cb57218d7c950b6aadd055,,"1,200 ETH",0.00099648%,1
5005,0x5f23ba1f37a96c45bc490259538a54c28ba3b0d5,,"1,200 ETH",0.00099648%,1
5006,0x34fc9acd75b5244e983f89258addc779e4f102f4,,"1,199.99916 ETH",0.00099648%,1
5007,0xdc27bc3f12c4d264fd28c41e20e69abf6a52f1ea,,"1,199.99910779 ETH",0.00099648%,24
5008,0x817dc9cbf3a08c0c7c4f0ef444a312157677763f,,"1,199.99878019 ETH",0.00099648%,15
5009,0x31c4f49866f7989f1facf1a6bb28a4eeb51b1c37,,"1,199.9965 ETH",0.00099648%,1
5010,0x84cb7da0502df45cf561817bbd2362f451be02da,,"1,199.99550825 ETH",0.00099648%,6
5011,0x514760250d3387c515858954b0fa974c9bf24cb6,,"1,199.97669791 ETH",0.00099647%,103
5012,0xbc60a9c7542efbc7010d40d46df4e8a49b7b72f3,,"1,199.79671412 ETH",0.00099632%,6
5013,0xd624d046edbdef805c5e4140dce5fb5ec1b39a3c,,"1,199.03112339 ETH",0.00099568%,38
5014,0x84712cc955ab7e33540d4ae4ed5838afb9b17f04,,"1,198.72689643 ETH",0.00099543%,46
5015,0xd18ab2f086ac98f6897a5db61e2b396d7f6fe313,,"1,198.02760466 ETH",0.00099485%,13
5016,0xbfe137d104b5b2dfd0af806941c6d0ed94d16a62,,"1,197.28554358 ETH",0.00099423%,21
5017,0x49a6e92149225d1b64a1a94cb9b6fac5933aa45f,,"1,196.44735522 ETH",0.00099353%,6
5018,0x66cb10d3bec29aec771fa1f63c96f1387568fe81,,"1,196.29741825 ETH",0.00099341%,2
5019,0x7b28db7b225c0bc960491cd1c9da8c5bb7cdeabb,,"1,196.12587434 ETH",0.00099327%,5
5020,0x5f76ec26a1145df787c5217499a9042f69fdfb8e,,"1,195.18019583 ETH",0.00099248%,17
5021,0x48bb401bae8e3dc6aa61969bc01b07449afb021b,,"1,194.99 ETH",0.00099232%,1
5022,0x8729e3fbb1b259baa3321665123451220dff11c1,,"1,194.62660773 ETH",0.00099202%,47
5023,0xaec98f7c8941643032ccb70da93d10332e18a44e,,"1,194.55188456 ETH",0.00099196%,88
5024,0x524c4f18e9943a80834ebec9c6151f18f2a82c5f,,"1,194.5316836 ETH",0.00099194%,5
5025,0xad4460314a4dd1eb41cb44f41a9280b430c49a68,,"1,194.10991192 ETH",0.00099159%,7
5026,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,,"1,194.10716308 ETH",0.00099159%,"1,757"
5027,0x604981db0c06ea1b37495265eda4619c8eb95a3d,,"1,194.01219387 ETH",0.00099151%,6
5028,0xde135f3771a03e7bfde7d626fedc27f1474c82f6,,"1,193.99 ETH",0.00099149%,1
5029,0x3fe171bcf949c1239e2a280a24e74d711608b71f,,"1,193.94395063 ETH",0.00099146%,26
5030,0xe0b3814c20c96d1890323fc8485a36b5ebf42488,,"1,193.70406335 ETH",0.00099126%,473
5031,0x148426fdc4c8a51b96b4bed827907b5fa6491ad0,bZx Exploiter 1,"1,193.69289949 ETH",0.00099125%,79
5032,0x8dd42769fe0f025c879eb3b0903862ceb1842555,,"1,193.14200842 ETH",0.00099079%,11
5033,0x9a6abf2133b8ba850a4de65a214b5fd0ed68bf88,,"1,192.85104223 ETH",0.00099055%,2
5034,0x7290cf7b4d41fa7c87cb7e5bac95b4e86e57a3ff,,"1,192.8492695 ETH",0.00099055%,45
5035,0x66feabe62013d26297598c828faa2db89a1de20c,,"1,191.94381765 ETH",0.00098979%,124
5036,0x88f9bf241cbca29bc09826419af3a0a1d2fc6db1,,"1,189.99589812 ETH",0.00098818%,12
5037,0x7f99a81c03359ce2e7e744372e1291ecae72af5a,,"1,188.925887 ETH",0.00098729%,1
5038,0x18eff77a491b037a2f474dff9e6dd528a6519834,,"1,188.736598 ETH",0.00098713%,9
5039,0xb1338c7e2b037ab93fa9ff49123b7fd3bf9375df,,"1,188.6774357 ETH",0.00098708%,2
5040,0x620085b4100ec1cc540462ac82352f60edf3a952,,"1,188.349031 ETH",0.00098681%,5
5041,0xf959aac83b2fc1d8b704f5ed005cec0c3c4d09db,,"1,187.59075049 ETH",0.00098618%,204
5042,0xcae8756cca998925ef1d619dae453fdc0421201c,,"1,187 ETH",0.00098569%,1
5043,0xf50dd87a8b9e73526d260aa88f86cef8fbd1f2c7,,"1,186.17600264 ETH",0.00098501%,7
5044,0x13199f53d234f9b9a12fcc6b2bd242b31e34062f,,"1,184.95215063 ETH",0.00098399%,21
5045,0x9db012727193108e1144c98649d5ead1d911c711,,"1,184.47309109 ETH",0.00098359%,625
5046,0x00fecf32ddd745b341d1bd66b02e71494fcc9874,,"1,184.05341962 ETH",0.00098324%,4
5047,0xacb88cc1402b4c253bf3110c2310143ff9f42d93,,"1,183.97605243 ETH",0.00098318%,18
5048,0xa9e89f3e44f368e4ce82bc5afcdf9acf19216249,,"1,183.66165246 ETH",0.00098292%,26
5049,0x57ecda28839520cbb3166181df18bd1e22537dad,,"1,183.45476378 ETH",0.00098275%,78
5050,0x04c3a22c258a1541af49b8e3bfd731396d073142,,"1,182.997 ETH",0.00098237%,1
5051,0x231050d27dc4f5fceb3faf712004d5b2d07e14ee,,"1,182.03688195 ETH",0.00098157%,70
5052,0x7539333046deb1ef3c4daf50619993f444e1de68,,"1,182 ETH",0.00098154%,1
5053,0x6de02f2dd67efdb7393402fa9eaacbcf589d2e56,,"1,182 ETH",0.00098154%,1
5054,0x8e2737d41082a03fd733e937497754512ad25fd0,,"1,180.99854651 ETH",0.00098071%,19
5055,0xa2b5604cff8f92dfa7d3c799fba030c6ea8fdfbb,,"1,180.8897742 ETH",0.00098062%,9
5056,0xba953548c0b7e63ce207e390611bcde519f606ec,,"1,180.70490896 ETH",0.00098046%,4
5057,0x0856f9268ecca98e77bcffefd006ce687b5b9bcf,,"1,180.1238338 ETH",0.00097998%,25
5058,0x77ca467e20468c03f515aae605812ca6a2e40056,,"1,180.088782 ETH",0.00097995%,4
5059,0x50e47fa31d8ba33b790a27fc17de6ee3297ba459,,"1,180.06252228 ETH",0.00097993%,32
5060,0xd4ab047a3d816196195e311b6dadcfa52f89abf0,,"1,180.06161696 ETH",0.00097993%,13
5061,0x6ef515d5146e77f3b276b1f5eb5f0ce879de34c2,,"1,179.96806872 ETH",0.00097985%,17
5062,0x737901bea3eeb88459df9ef1be8ff3ae1b42a2ba,Aztec: Private Rollup Bridge,"1,179.8030232 ETH",0.00097971%,"95,232"
5063,0x6a955df8f99d2a3054f9e270658b8f4bf4fdde08,,"1,178.93439801 ETH",0.00097899%,"6,522"
5064,0x9642b23ed1e01df1092b92641051881a322f5d4e,,"1,178.80780545 ETH",0.00097889%,"470,154"
5065,0x8092d1244f1d463adece4ae14cf5c96c7e0e64da,,"1,178.79502325 ETH",0.00097888%,3
5066,0x21448cd33f233dbbeb1287bc928d2cf158dac522,,"1,177.66357131 ETH",0.00097794%,99
5067,0x2a242eb5ea8b5332948d56099aaca7cb824ea0a6,,"1,177.42647394 ETH",0.00097774%,59
5068,0x1da69c77281be0f69049d9d11017ab80aaf3947c,,"1,177.20942 ETH",0.00097756%,1
5069,0xb0e62712d08d246c03ef19076dfba56c355b4022,,"1,177.19636288 ETH",0.00097755%,755
5070,0xfc3b7a21e65aee0e6959a524ce9fbe9f8f4d95f3,,"1,177.18887083 ETH",0.00097754%,52
5071,0x477bfe17e580643e68c8b882cda2d62012886363,,"1,176.51788357 ETH",0.00097699%,287
5072,0xd7dfc49e5d13f77830029134fb06f5fa6d5e8ec4,,"1,176.44116459 ETH",0.00097692%,295
5073,0x6d11cda6a41acc035901918290b9d1ad4f982d48,,"1,176.33125476 ETH",0.00097683%,23
5074,0x8cded8f07fbf9bea7732c3375a3c0eaaf010faaa,,"1,176.22517054 ETH",0.00097674%,7
5075,0x25bd2d99dc3cc991dd3481886f654455604db07b,,"1,176 ETH",0.00097655%,1
5076,0x3c0ca512e8f532d14b4c2f079f877246aba9c6cd,,"1,175.98914441 ETH",0.00097655%,43
5077,0x806ac04d9f191352adbd3028eb7961f1c334e81e,,"1,175.23889502 ETH",0.00097592%,2
5078,0x80d02ce22ab8b7baceca0c0187c086dd76d2c4ce,,"1,175.01462864 ETH",0.00097574%,5
5079,0x5a05aceafc83a54a4ffe5f3bb43ba0d0f29e3cb8,,"1,174.99814608 ETH",0.00097572%,4
5080,0xd9ff59b9304347b38ae605ded82f94a59b8757b1,,"1,174.95499938 ETH",0.00097569%,13
5081,0xe466d6cf6e2c3f3f8345d39633d4a968ec879bd5,,"1,174.38381094 ETH",0.00097521%,223
5082,0xdab45322d6407d174807bb7d8340e9c6093442ea,,"1,173.41306512 ETH",0.00097441%,17
5083,0x4eb5fbbe7a5cdf3fbbca2d62ab3fb047b055384b,,"1,172.48697778 ETH",0.00097364%,1
5084,0x4d36fcc762f773dcc53f072f0b4c3f693bb8a7ce,,"1,172.42108942 ETH",0.00097358%,695
5085,0x140d7f037dbe308e88b3b2a06b3d032e9dbbb926,,"1,172.10973464 ETH",0.00097332%,50
5086,0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,,"1,171.38937748 ETH",0.00097273%,"11,937"
5087,0x9b2c7df700be9a379d5d40df10a5f4d77d4c8633,,"1,171.34041893 ETH",0.00097269%,16
5088,0x8c07329857346f0f9fb36c5426ce78886f22ee3c,,"1,171.00972821 ETH",0.00097241%,18
5089,0xea53cb9bfc2524a794ca188d01038ebbcf86eba8,,"1,170.56 ETH",0.00097204%,3
5090,0x6f923fea5066bae794224a22fa1c1f6ee95aae5b,,"1,170 ETH",0.00097157%,2
5091,0xd0348db3413e105d0eb73011d4dc83a814254e43,,"1,169.1 ETH",0.00097083%,9
5092,0xafc258cc5c411f30042d6cdb196727365aec118f,,"1,169.02162486 ETH",0.00097076%,358
5093,0x27b79bd7fe0cc7a198858070707b3ac175d6da44,,"1,168.57045207 ETH",0.00097039%,76
5094,0x3bcb8d0821f58854d77dff8a259494a9dde737e8,,"1,168.13860835 ETH",0.00097003%,5
5095,0x40e0b81b03b65b540a4daecccf80278d7ac7f28b,,"1,167.80565073 ETH",0.00096975%,25
5096,0x638759384cdef73cc489d823fd8b6d6edfd2f218,,"1,167.20356211 ETH",0.00096925%,52
5097,0x9bad7a1b52167fce368f9daa194122c9a167c71d,,"1,166.97157594 ETH",0.00096906%,6
5098,0x9f3d09eb978745f6e269d899dedfc5282b13a8e5,,"1,166.95338785 ETH",0.00096904%,17
5099,0x63910ae4fd3d5ad87acec6990989543b191ec95f,,"1,166.31260021 ETH",0.00096851%,16
5100,0xa3bb12e49e73636dffc5c70601fffada1cdc93db,,"1,165.47489492 ETH",0.00096781%,370
5101,0x02470045bac21a0d8244fb3fff6aae5de97a3b75,,"1,163.797 ETH",0.00096642%,1
5102,0x83f3c97787dc856f771fabdfcb72f1891aa48756,,"1,163.13907402 ETH",0.00096588%,118
5103,0xecaec867ebc78292f4dbf57481a6e2679b3ee667,,"1,162.67664028 ETH",0.00096549%,262
5104,0x7b92c357ac3f869b491adacf249684c0743f064a,,"1,162.64958735 ETH",0.00096547%,7
5105,0x26d70cac507943a1833c4f81a6c5813f82e691fa,,"1,162.64 ETH",0.00096546%,2
5106,0x4a2855d5a3d5ba72fea778fa686bc9d68b97aa70,,"1,162.62387506 ETH",0.00096545%,17
5107,0x7a9875844666f18110880b67175d301b93ab8c14,,"1,162.51436539 ETH",0.00096536%,980
5108,0xc60fb2915ed44216589d91e229249a51ea5669a0,,"1,162.50880779 ETH",0.00096535%,150
5109,0xf0175ef0b15c40c9f4736404892817e5749c4d3e,,"1,161.86388371 ETH",0.00096482%,9
5110,0xbaeedcccbfb112d4a921daa635ac2276307a1705,,"1,161.60035506 ETH",0.00096460%,50
5111,0xb8e58b7446095f0cc5682863095e9e5ad4c0f340,,"1,160.882901 ETH",0.00096400%,12
5112,0x82b2f0aa782e6409069d2bf82cd12d0bf0a2b29f,,"1,160.71318957 ETH",0.00096386%,17
5113,0xeb75b70b5d7016328baa09d66720a4926a13a6fd,,"1,160.57616684 ETH",0.00096375%,23
5114,0xd6aeee96f7ae74a9e7074c4c1ddc950217292f89,,"1,160.31162791 ETH",0.00096353%,2
5115,0x1b8c570702b2b1deb446c1e483e2a63de57819a3,,"1,160.15856815 ETH",0.00096340%,8
5116,0xf1136cbb601ab3e99aab1c8211a5acd7dd881223,,"1,160.07967352 ETH",0.00096333%,1
5117,0x6e60aee1a78f8eda8b424c73e353354ae67c3042,,"1,160.0501941 ETH",0.00096331%,65
5118,0x1ec84a64d30cc3681939500c6174fda482150e23,,"1,159.50861964 ETH",0.00096286%,6
5119,0xb8ba579c9c0e32fcc4ab67b96ec1f90187f43e8b,,"1,159.50857276 ETH",0.00096286%,6
5120,0x0fe65bb94e1922262a37e4d1f4a95bfcf5cb1ac6,,"1,159.50813269 ETH",0.00096286%,8
5121,0x2e6812fba4b039bc0c089cac81bab7570da640f4,,"1,159.50597351 ETH",0.00096286%,8
5122,0x2c777ab9e7cffbda691907894e728c565dfaf43b,,"1,159.5059189 ETH",0.00096286%,9
5123,0x2574488c0e69e3b558037ebd34a276a3fdaac56c,,"1,159.50585631 ETH",0.00096286%,8
5124,0x21bb456a5c0930b7cff32a7cbe09d817fd5c55fa,,"1,159.50585103 ETH",0.00096286%,8
5125,0xd8f10c9467f18127eacfa69b4cbf6d729bd14071,,"1,159.50578634 ETH",0.00096286%,8
5126,0x6278c2ad16da6518f9c92b53f739e7dd2a6305e4,,"1,159.45178407 ETH",0.00096281%,13
5127,0xcb1f50352d84b1e4e1d3b4045a446cd628b2ec9f,,"1,159.02716222 ETH",0.00096246%,40
5128,0xb1567897f70d552c6c976c3c91eb3918d9da6172,,"1,159.00001159 ETH",0.00096244%,5
5129,0x6c1400fdf959427488981e37cd7ee43ca4e2701f,,"1,158.91136414 ETH",0.00096236%,1
5130,0xeeb7091b1fb48ac46a843ebbd43f4891e97c1a90,,"1,158.5223 ETH",0.00096204%,1
5131,0x0b71d3b26b43212c8069cc1e20d07657c12add80,,"1,158 ETH",0.00096161%,2
5132,0xef1a730fd8ed378e2b8fe061496ba3d900ee2529,,"1,157.99071402 ETH",0.00096160%,4
5133,0x06b32e6211888e402accf3054151b23b182c5bc1,,"1,156.44723493 ETH",0.00096032%,31
5134,0xf476e179fbad530afe8337d5c818715250821d9e,,"1,156.08681193 ETH",0.00096002%,28
5135,0xc8fd4c71fecac839a7009e6b16efee853467d66b,,"1,155.72906675 ETH",0.00095972%,1
5136,0xe76cd31dd4a9a5a8492d8d800ec85935e99d978c,,"1,155.297 ETH",0.00095936%,1
5137,0xe442ce912b56733197c6b7f3c53a6c17b96670cd,,"1,154.36334664 ETH",0.00095859%,85
5138,0x8ba483c438a07d98c1a476ceddc7c72c3830b358,,"1,154.353334 ETH",0.00095858%,12
5139,0xff0967ed24c3a7c991ab1493d4c17ccccad0c38b,,"1,153.64848538 ETH",0.00095799%,2
5140,0xf5127f307afa9164ec3034d5ac6f493765ec1008,,"1,153.40311457 ETH",0.00095779%,3
5141,0xee15a647fa9a7a6772a2d5ca17b81c2c1a03be8c,,"1,153.0015 ETH",0.00095746%,3
5142,0x6153a951fbb15681e06e4a834e2183db7658dd87,,"1,153.0015 ETH",0.00095746%,4
5143,0x08a4d3c1f1afcbffa7633e99162a6a0ab4676ef9,,"1,153.0015 ETH",0.00095746%,3
5144,0xd0007abd3d302a54909d51107ca5176c4e09452b,,"1,153.0015 ETH",0.00095746%,3
5145,0x13db7b40bc125a84ff350539952606b91a28c3a1,,"1,153.0015 ETH",0.00095746%,3
5146,0x506a58dfc9929c20cecc7f63c301361696e97ec0,,"1,153 ETH",0.00095746%,3
5147,0x0ef85b49d08a75198692914eddb4b22cf5fa4450,,"1,152.793364 ETH",0.00095728%,9
5148,0x87e644f19ef1cd104fafaedf4b41a0bb6cb19b46,,"1,152.57326009 ETH",0.00095710%,10
5149,0x27c95a6c4720b6557355d77a72cf35728d3fe864,,"1,152.0015 ETH",0.00095663%,3
5150,0x5f271d3fd257e342bc828e7092b5a1965c36a25e,,"1,151.422271 ETH",0.00095615%,11
5151,0xe692b46d9770e46d24167bce2dac73eda1afe1eb,,"1,151.36095357 ETH",0.00095609%,7
5152,0xa5cf9bde725988dafb4e4682ee19f7250d101472,,"1,150.70678753 ETH",0.00095555%,15
5153,0xe5a1f400cf8e6878a68a8d4e31a9bfc59c95bcc7,,"1,150.69984501 ETH",0.00095555%,8
5154,0x590ff6c88e453bbbef2d8afde9f95871df987018,,"1,150.5043394 ETH",0.00095538%,316
5155,0x83e5ddffff6936dfe074bc57515716d0dcf4a53e,,"1,150.397 ETH",0.00095529%,1
5156,0xdab9ea172e9c90019b65095da811c75006e1ff27,,"1,150.04420991 ETH",0.00095500%,8
5157,0x0c68cb02a25f03dfe4f6e882a112144912d7e863,,"1,150 ETH",0.00095496%,3
5158,0x3a3e2b5926fdc6efbcc73b15b722d5584198e4b6,,"1,149.98123837 ETH",0.00095495%,16
5159,0xfac3a98ed69fe8637bf24dfd804add1c29cfee28,,"1,149.53796994 ETH",0.00095458%,6
5160,0x039d512d381dd5df5c03f36750a4068cc53f653e,,"1,148.60978533 ETH",0.00095381%,15
5161,0xcf6b96a7e5fa02d9844c5cb0e8f7db66147304a6,,"1,147.81438855 ETH",0.00095315%,37
5162,0x3c6911e69dda1c02dea5c82760288435b0b47d17,,"1,147.64370173 ETH",0.00095301%,2
5163,0x0a93602d0b4074882eb0039acc93d0b6b0b9b0e0,,"1,146.7306099 ETH",0.00095225%,6
5164,0xc92dec81387b402bcd08d0a38099c5c1e66460b0,,"1,145.68339752 ETH",0.00095138%,14
5165,0xb1424a7edba2ef045a8dd75c4235ac1b7e0ae2d7,,"1,145.53671711 ETH",0.00095126%,48
5166,0x0dda86e32fd9eeb5f69314dd8b1d75e813c3cf08,,"1,145.41322593 ETH",0.00095116%,53
5167,0x8d14cc4f7ae1d2e2ce9908f53bb13c39333f77b7,,"1,144.941 ETH",0.00095076%,15
5168,0xfb1196989e1325930559db7f041b20f3c0ba9b10,,"1,144.22761246 ETH",0.00095017%,30
5169,0x1a24e6f44438e76bdab58e9314d22095a8afaf58,,"1,144.16915052 ETH",0.00095012%,12
5170,0x8a8304effec7f94c8e70afafa323bec8785a2aa1,,"1,142.922 ETH",0.00094909%,2
5171,0x59d96b69a65c9c5419b849abe7256e50f14b0bcf,,"1,142.72108199 ETH",0.00094892%,35
5172,0x6192e48859ce94538e6702f96e0300d4f5473911,,"1,142.2069171 ETH",0.00094849%,23
5173,0xc232a6d6ba1c82b1b5ce9a6d31c7abd499da655f,,"1,141.13874054 ETH",0.00094761%,5
5174,0x1d41071761c941e854838583d1be87a2449dd036,,"1,141.0368422 ETH",0.00094752%,77
5175,0xfda579cb1dbe43b547086e15f1e5247533b681ca,,"1,140.70739894 ETH",0.00094725%,2
5176,0xef83e6853ca9a6fda0575027c37fa0d27aac9b75,,"1,140.113 ETH",0.00094675%,5
5177,0xaa67a665c7d343ca65ae86608714741d3825711d,,"1,140.04171541 ETH",0.00094670%,148
5178,0x444fc403a610b86a2c2c0ed81a723059df7052ca,,"1,139.4808825 ETH",0.00094623%,10
5179,0x2ea81946ff675d5eb88192144ffc1418fa442e28,,"1,139.20660466 ETH",0.00094600%,"1,274"
5180,0xb31a7132453e182ae1389e3757f305bddb6bb4f2,,"1,139.1 ETH",0.00094591%,1
5181,0xa9bb2e88b969e3f6160a9dce1d45bd177e724849,,"1,139.02587276 ETH",0.00094585%,8
5182,0x62d00bf1f291be434ac01b3dc75fa84af963370a,,"1,138.82204911 ETH",0.00094568%,110
5183,0x6cc38b3f8cbf2b78996801d1b8d5fa441c33270d,,"1,138.10793867 ETH",0.00094509%,164
5184,0xc92b33ff29e9c046ac53f1cfb74e29558ec274e6,,"1,137.36787521 ETH",0.00094447%,11
5185,0x2271b6b593a84026ba86365598f0a7cdb8dda37c,,"1,136.63532221 ETH",0.00094387%,4
5186,0xc2f4e056f848f4775dbbd7d7f654c1f8ca9f9121,,"1,136.23491382 ETH",0.00094353%,4
5187,0xb126ba57045bd009eb6001cf39e1cb5f5649167a,,"1,135.17485639 ETH",0.00094265%,"8,200"
5188,0x5569fd6991d1802dbee9bdd67e763fe7be67c7a9,,"1,135.0328387 ETH",0.00094254%,480
5189,0xf94fd1e044debaa0d1f403868586d1169ea85dcc,,"1,134.99 ETH",0.00094250%,1
5190,0x43dedb43c6bcd9250e61c62ea603f1b6c9179c25,,"1,134.26896875 ETH",0.00094190%,38
5191,0xca6730e450114020aa7d721cfadc50d36505080c,,"1,134.2070858 ETH",0.00094185%,3
